		Accuracy	Precision	Recall	F1_score	time
SVM		0.9802	1.0	0.9802	0.99	150.442
NB		0.8383	0.835	0.9998	0.91	0.092
LR		0.9802	1.0	0.9802	0.99	2.017
MLP		0.9791	1.0	0.9791	0.9894	4.514
DT		0.9998	1.0	0.9998	0.9999	0.294
XGBoost (stacked)	0.9998	1.0	0.9998	0.9999	0.496
CatBoost (stacked)	0.9998	1.0	0.9998	0.9999	1.030
LightBoost (stacked)	0.9998	1.0	0.9998	0.9999	0.342
AdaBoost (stacked)	0.9997	1.0	0.9997	0.9999	3.426
GraBoost (stacked)	0.9998	1.0	0.9998	0.9999	6.472
